Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2023-03-09,14.57.53.08,Status : Source A Warming Up,SrcA Startup,0,0.0,0.1,33.9,710,190811.9,56741.5,46435.9,291817.7,0,0,379756.3,17576.1,76773.1,216700.8,118.33333333333331,0.5946398659966499,Monitoring,0.0,0.9,0.2,35.2,734.0,190811.9,56741.5,46435.9,291817.7,0.0,0.0,379756.3,17576.1,76773.1,216700.8,0.0,0.0,0.0,0.9,1.0,1.0,0.2,0.2,0.2,35.2,35.1,32.1,734.0,1096.0,753.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291817.7,291817.7,291817.5,0.0,0.0,0.0,0.0,0.0,0.0,379756.3,379756.2,379756.1,17576.1,17576.1,17576.1,76773.1,76773.1,76773.1,216700.8,216700.8,216700.7
2023-03-09,14.58.28.74,Status : Source A Warming Up,SrcA Startup,0,0.0,0.1,33.8,611,190811.9,56741.5,46435.9,291817.7,0,0,379756.3,17576.1,76773.1,216700.8,101.83333333333331,0.5117252931323283,Monitoring,0.0,0.0,0.1,33.9,710.0,190811.9,56741.5,46435.9,291817.7,0.0,0.0,379756.3,17576.1,76773.1,216700.8,0.0,0.0,0.0,0.0,0.9,1.0,0.1,0.2,0.2,33.9,35.2,35.1,710.0,734.0,1096.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291817.7,291817.7,291817.7,0.0,0.0,0.0,0.0,0.0,0.0,379756.3,379756.3,379756.2,17576.1,17576.1,17576.1,76773.1,76773.1,76773.1,216700.8,216700.8,216700.8
2023-03-09,14.59.04.74,Status : Source A Warming Up,SrcA Startup,0,0.0,0.1,33.4,536,190811.9,56741.5,46435.9,291817.7,0,0,379756.3,17576.1,76773.1,216700.8,89.33333333333333,0.4489112227805695,Monitoring,0.0,0.0,0.1,33.8,611.0,190811.9,56741.5,46435.9,291817.7,0.0,0.0,379756.3,17576.1,76773.1,216700.8,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.1,0.2,33.8,33.9,35.2,611.0,710.0,734.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291817.7,291817.7,291817.7,0.0,0.0,0.0,0.0,0.0,0.0,379756.3,379756.3,379756.3,17576.1,17576.1,17576.1,76773.1,76773.1,76773.1,216700.8,216700.8,216700.8
2023-03-09,14.59.41.74,Status : Source A Warming Up,SrcA Startup,0,0.0,0.1,33.6,513,190811.9,56741.5,46435.9,291817.7,0,0,379756.3,17576.1,76773.1,216700.8,85.5,0.4296482412060301,Monitoring,0.0,0.0,0.1,33.4,536.0,190811.9,56741.5,46435.9,291817.7,0.0,0.0,379756.3,17576.1,76773.1,216700.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,33.4,33.8,33.9,536.0,611.0,710.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291817.7,291817.7,291817.7,0.0,0.0,0.0,0.0,0.0,0.0,379756.3,379756.3,379756.3,17576.1,17576.1,17576.1,76773.1,76773.1,76773.1,216700.8,216700.8,216700.8
2023-03-09,15.00.18.74,Status : Source A Warming Up,SrcA Startup,0,0.0,0.1,33.4,497,190811.9,56741.5,46435.9,291817.7,0,0,379756.3,17576.1,76773.1,216700.8,82.83333333333333,0.4162479061976549,Monitoring,0.0,0.0,0.1,33.6,513.0,190811.9,56741.5,46435.9,291817.7,0.0,0.0,379756.3,17576.1,76773.1,216700.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,33.6,33.4,33.8,513.0,536.0,611.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291817.7,291817.7,291817.7,0.0,0.0,0.0,0.0,0.0,0.0,379756.3,379756.3,379756.3,17576.1,17576.1,17576.1,76773.1,76773.1,76773.1,216700.8,216700.8,216700.8
2023-03-09,15.00.55.74,Status : Source A Warming Up,SrcA Startup,0,0.0,0.1,33.6,501,190811.9,56741.5,46435.9,291817.7,0,0,379756.3,17576.1,76773.1,216700.8,83.5,0.4195979899497487,Monitoring,0.0,0.0,0.1,33.4,497.0,190811.9,56741.5,46435.9,291817.7,0.0,0.0,379756.3,17576.1,76773.1,216700.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,33.4,33.6,33.4,497.0,513.0,536.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291817.7,291817.7,291817.7,0.0,0.0,0.0,0.0,0.0,0.0,379756.3,379756.3,379756.3,17576.1,17576.1,17576.1,76773.1,76773.1,76773.1,216700.8,216700.8,216700.8
2023-03-09,15.05.30.03,Status : Source A Warming Up,SrcA Startup,0,0.0,0.1,33.8,418,190811.9,56741.5,46435.9,291817.7,0,0,379756.3,17576.1,76773.1,216700.8,69.66666666666666,0.3500837520938023,Monitoring,0.0,0.0,0.1,34.5,671.0,190811.9,56741.5,46435.9,291817.7,0.0,0.0,379756.3,17576.1,76773.1,216700.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,34.5,33.6,33.4,671.0,501.0,497.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291817.7,291817.7,291817.7,0.0,0.0,0.0,0.0,0.0,0.0,379756.3,379756.3,379756.3,17576.1,17576.1,17576.1,76773.1,76773.1,76773.1,216700.8,216700.8,216700.8
2023-03-09,15.06.04.73,Status : Source A Warming Up,SrcA Startup,0,0.0,0.1,33.8,398,190811.9,56741.5,46435.9,291817.7,0,0,379756.3,17576.1,76773.1,216700.8,66.33333333333333,0.3333333333333333,Monitoring,0.0,0.0,0.1,33.8,418.0,190811.9,56741.5,46435.9,291817.7,0.0,0.0,379756.3,17576.1,76773.1,216700.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,33.8,34.5,33.6,418.0,671.0,501.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291817.7,291817.7,291817.7,0.0,0.0,0.0,0.0,0.0,0.0,379756.3,379756.3,379756.3,17576.1,17576.1,17576.1,76773.1,76773.1,76773.1,216700.8,216700.8,216700.8
2023-03-09,15.06.41.73,Status : Source A Warming Up,SrcA Startup,0,0.0,0.2,33.8,388,190811.9,56741.5,46435.9,291817.7,0,0,379756.3,17576.1,76773.1,216700.8,64.66666666666666,0.3249581239530987,Monitoring,0.0,0.0,0.1,33.8,398.0,190811.9,56741.5,46435.9,291817.7,0.0,0.0,379756.3,17576.1,76773.1,216700.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,33.8,33.8,34.5,398.0,418.0,671.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291817.7,291817.7,291817.7,0.0,0.0,0.0,0.0,0.0,0.0,379756.3,379756.3,379756.3,17576.1,17576.1,17576.1,76773.1,76773.1,76773.1,216700.8,216700.8,216700.8
2023-03-09,15.08.53.05,Status : Source A Warming Up,SrcA Startup,0,0.0,0.1,33.5,385,190811.9,56741.5,46435.9,291817.7,0,0,379756.3,17576.1,76773.1,216700.8,64.16666666666666,0.3224455611390284,Monitoring,0.0,0.0,0.2,33.8,388.0,190811.9,56741.5,46435.9,291817.7,0.0,0.0,379756.3,17576.1,76773.1,216700.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,33.8,33.8,33.8,388.0,398.0,418.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291817.7,291817.7,291817.7,0.0,0.0,0.0,0.0,0.0,0.0,379756.3,379756.3,379756.3,17576.1,17576.1,17576.1,76773.1,76773.1,76773.1,216700.8,216700.8,216700.8
2023-03-09,15.09.29.73,Status : Source A Warming Up,SrcA Startup,0,0.0,0.1,33.8,378,190811.9,56741.5,46435.9,291817.7,0,0,379756.3,17576.1,76773.1,216700.8,63.0,0.3165829145728643,Monitoring,0.0,0.0,0.1,33.5,385.0,190811.9,56741.5,46435.9,291817.7,0.0,0.0,379756.3,17576.1,76773.1,216700.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,33.5,33.8,33.8,385.0,388.0,398.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291817.7,291817.7,291817.7,0.0,0.0,0.0,0.0,0.0,0.0,379756.3,379756.3,379756.3,17576.1,17576.1,17576.1,76773.1,76773.1,76773.1,216700.8,216700.8,216700.8
2023-03-09,15.10.06.73,Status : Source A Warming Up,SrcA Startup,0,0.0,0.2,33.8,376,190811.9,56741.5,46435.9,291817.7,0,0,379756.3,17576.1,76773.1,216700.8,62.66666666666666,0.3149078726968174,Monitoring,0.0,0.0,0.1,33.8,378.0,190811.9,56741.5,46435.9,291817.7,0.0,0.0,379756.3,17576.1,76773.1,216700.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,33.8,33.5,33.8,378.0,385.0,388.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291817.7,291817.7,291817.7,0.0,0.0,0.0,0.0,0.0,0.0,379756.3,379756.3,379756.3,17576.1,17576.1,17576.1,76773.1,76773.1,76773.1,216700.8,216700.8,216700.8
2023-03-09,15.10.41.73,Status : Source A Warming Up,SrcA Startup,0,0.0,0.1,33.8,378,190811.9,56741.5,46435.9,291817.7,0,0,379756.3,17576.1,76773.1,216700.8,63.0,0.3165829145728643,Monitoring,0.0,0.0,0.2,33.8,376.0,190811.9,56741.5,46435.9,291817.7,0.0,0.0,379756.3,17576.1,76773.1,216700.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,33.8,33.8,33.5,376.0,378.0,385.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291817.7,291817.7,291817.7,0.0,0.0,0.0,0.0,0.0,0.0,379756.3,379756.3,379756.3,17576.1,17576.1,17576.1,76773.1,76773.1,76773.1,216700.8,216700.8,216700.8
2023-03-13,09.17.28.91,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.0,0.5,27.4,195,190811.9,56741.5,46435.9,291885.2,0,0,379823.7,17581.1,76776.5,216712.2,32.5,0.1633165829145728,Inspecting,0.0,0.5,0.6,27.0,163.0,190811.9,56741.5,46435.9,291885.1,0.0,0.0,379823.6,17581.1,76776.4,216712.2,0.0,0.0,0.0,0.5,0.5,0.5,0.6,0.8,0.9,27.0,26.4,26.0,163.0,126.0,128.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291885.1,291885.1,291885.0,0.0,0.0,0.0,0.0,0.0,0.0,379823.6,379823.6,379823.5,17581.1,17581.1,17581.1,76776.4,76776.4,76776.3,216712.2,216712.1,216711.9
2023-03-13,09.20.14.91,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.4,27.8,216,190811.9,56741.5,46435.9,291885.2,0,0,379823.7,17581.1,76776.5,216712.2,36.0,0.1809045226130653,Inspecting,0.0,0.0,0.5,27.4,195.0,190811.9,56741.5,46435.9,291885.2,0.0,0.0,379823.7,17581.1,76776.5,216712.2,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.6,0.8,27.4,27.0,26.4,195.0,163.0,126.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291885.2,291885.1,291885.1,0.0,0.0,0.0,0.0,0.0,0.0,379823.7,379823.6,379823.6,17581.1,17581.1,17581.1,76776.5,76776.4,76776.4,216712.2,216712.2,216712.1
2023-03-13,09.20.46.41,Status : Source A Warming Up,SrcA Startup,0,0.0,0.4,27.9,215,190811.9,56741.5,46435.9,291885.2,0,0,379823.7,17581.1,76776.5,216712.2,35.83333333333333,0.1800670016750418,Inspecting,0.0,0.0,0.4,27.8,216.0,190811.9,56741.5,46435.9,291885.2,0.0,0.0,379823.7,17581.1,76776.5,216712.2,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.5,0.6,27.8,27.4,27.0,216.0,195.0,163.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291885.2,291885.2,291885.1,0.0,0.0,0.0,0.0,0.0,0.0,379823.7,379823.7,379823.6,17581.1,17581.1,17581.1,76776.5,76776.5,76776.4,216712.2,216712.2,216712.2
2023-03-13,17.03.45.91,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.0,0.2,38.6,570,190811.9,56741.5,46435.9,291921.4,0,0,379859.9,17581.1,76776.6,216714.0,95.0,0.4773869346733668,Monitoring,0.0,5.5,0.2,38.9,564.0,190811.9,56741.5,46435.9,291921.3,0.0,0.0,379859.9,17581.1,76776.6,216714.0,0.0,0.0,0.0,5.5,5.4,5.7,0.2,0.2,0.2,38.9,39.7,39.2,564.0,554.0,611.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291921.3,291920.5,291919.6,0.0,0.0,0.0,0.0,0.0,0.0,379859.9,379859.0,379858.1,17581.1,17581.1,17581.1,76776.6,76776.6,76776.6,216714.0,216713.9,216713.9
2023-03-13,17.04.20.91,Status : Source A Stopped,SrcA Cooling Down,0,0.0,0.1,38.8,572,190811.9,56741.5,46435.9,291921.4,0,0,379859.9,17581.1,76776.6,216714.0,95.33333333333331,0.4790619765494137,Monitoring,0.0,0.0,0.2,38.6,570.0,190811.9,56741.5,46435.9,291921.4,0.0,0.0,379859.9,17581.1,76776.6,216714.0,0.0,0.0,0.0,0.0,5.5,5.4,0.2,0.2,0.2,38.6,38.9,39.7,570.0,564.0,554.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291921.4,291921.3,291920.5,0.0,0.0,0.0,0.0,0.0,0.0,379859.9,379859.9,379859.0,17581.1,17581.1,17581.1,76776.6,76776.6,76776.6,216714.0,216714.0,216713.9
2023-03-13,17.04.52.41,Status : Source A Warming Up,SrcA Startup,0,0.0,0.1,38.8,570,190811.9,56741.5,46435.9,291921.4,0,0,379859.9,17581.1,76776.6,216714.0,95.0,0.4773869346733668,Monitoring,0.0,0.0,0.1,38.8,572.0,190811.9,56741.5,46435.9,291921.4,0.0,0.0,379859.9,17581.1,76776.6,216714.0,0.0,0.0,0.0,0.0,0.0,5.5,0.1,0.2,0.2,38.8,38.6,38.9,572.0,570.0,564.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,291921.4,291921.4,291921.3,0.0,0.0,0.0,0.0,0.0,0.0,379859.9,379859.9,379859.9,17581.1,17581.1,17581.1,76776.6,76776.6,76776.6,216714.0,216714.0,216714.0
2023-03-17,08.55.21.50,Status : Source A CB Closed,SrcA CB Waiting for Closed,0,0.0,1.1,24.8,142,190811.9,56741.5,46435.9,292078.1,0,0,380016.7,17586.1,76780.2,216725.1,23.666666666666664,0.1189279731993299,Inspecting,0.0,0.9,1.2,24.7,140.0,190811.9,56741.5,46435.9,292078.1,0.0,0.0,380016.6,17586.1,76780.2,216725.0,0.0,0.0,0.0,0.9,0.9,1.1,1.2,1.7,1.1,24.7,24.9,24.7,140.0,147.0,111.0,190811.9,190811.9,190811.9,56741.5,56741.5,56741.5,46435.9,46435.9,46435.9,292078.1,292077.9,292077.6,0.0,0.0,0.0,0.0,0.0,0.0,380016.6,380016.4,380016.1,17586.1,17586.1,17586.1,76780.2,76780.0,76779.8,216725.0,216724.8,216724.5
